Resultados ;Column1;Descripcion;Enlace;Figuras;Informacion adicional
Tecnologías y modelos;map4rdf;"Recientemente, hemos visto un gran incremento en la cantidad de datos geoespaciales que están publicados utilizando RDF y los principios de Linked Data. Esfuerzos como el W3C Geo XG, y más recientemente la iniciativa GeoSPARQL están proporcionando los vocabularios necesarios para publicar este tipo de información en la Web de Datos. map4rdf es un herramienta para explorar y visualizar conjuntos de datos RDF enriquecidos con información geométrica.
map4rdf es un software open source que simplemente necesita ser configurado para usar cualquier SPARQL endpoint y que proporciona a los usuarios una visualización de datos georreferenciados y en RDF en un mapa. Los aspectos geoespaciales de los datos se pueden modelar usando o el modelo de datos del W3C Geo XG o GeoSPARQL.";http://oeg-upm.github.io/map4rdf;;https://github.com/oeg-upm/map4rdf
Tecnologías y modelos;MARiMbA;"MARiMbA es una herramienta orientada a bibliotecas para transformar sus registros en formato MARC (MAchine-ReadableCataloging) a RDF, siguiendo las mejores prácticas de Linked Data.
La herramienta soporta todo el proceso de asignación de correspondencias transformación entre los metadatos contenidos en los registros MARC y los vocabularios elegidos para generar RDF. Es una herramienta diseñada para facilitar el proceso de generación de Linked Data y permitir que sea llevado a cabo por el personal de las bibliotecas sin necesidad de asistencia técnica. Para ello, MARiMbA ofrece las siguientes características:
-Está probada para transformar registros de autoridad y bibliográficos.
-Todo el trabajo se realiza a través de hojas de cálculo, no siendo necesario conocer el manejo de ningún lenguaje de mapeo o transformación adicional (XML, XSLT, etc.)
-La herramienta realiza un análisis previo de los registros a transformar, generando las plantillas para las correspondencias a partir de dicho análisis. Dichas plantillas están enfocadas a mejorar la toma de decisiones del usuario, la identificación de errores y la evaluación del proceso de transformación.
-Permite usar cualquier vocabulario o mezcla de vocabularios en RDFS/OWL
-Incluye un fichero de configuración que permite realizar ajustes en la transformación. En cualquier caso, viene con una configuración por defecto que sigue el modelo FRBR (Functional RequirementsforBibliographicRecords).
-Incluye un servidor SPARQL ligero (Fuseki) que permite al usuario ejecutar
La herramienta ha sido utilizada con éxito para realizar la transformación a RDF de cerca de 7 millones de registros MARC 21 de la Biblioteca Nacional de España, y que ha dado como resultado alrededor de 60 millones de tripletas RDF. Los datos transformados son accesibles a través de SPARQL en http://datos.bne.es/sparql. Por otro lado, un ejemplo de uno de los registros transformados es accesible en la siguiente dirección: http://datos.bne.es/resource/XX1718747

";;;"¿Cómo utilizarlo?
Necesitas:
-Registros MARC (autoridad y/o bibliográficos) en formato ISO 2709
-Java 1.6 o superior en el path (comprueba con java -version si no estás seguro)
-Un editor de hojas de cálculo (OpenOffice, LibreOffice, Ms Excel, etc.)
Pasos:
1 Guardar/mover los ficheros MARC a transformar en la carpeta data. Poner los bibliográficos en la carpeta data/bibliographic y los de autoridad en data/authority. Se pueden transformar tantos ficheros como se desee.
2 Ejecutar el comando que genera las plantillas de mapping: ""marimba --generatemappings -a -b""   Esta acción genera 3 hojas de cálculo: classificationMapping y annotationMapping, relationsMapping. Además, crea una hoja de cálculo adicional, alias, que permite asignar alias a aquellas clases y propiedades RDF más usadas para evitar utilizar la URI completa. Las hojas de cálculo se encuentran por defecto en la carpeta mappings.
3 Utilizando las hojas de cálculo generadas, asignar correspondencias entre las combinaciones encontradas en los registros MARC y las clases y propiedades de los vocabularios elegidos. Cada hoja de cálculo tiene una función definida:
-classificationMapping: asignar la clase o tipo de recurso RDF a generar para cada una de las combinaciones.
-annotationMapping: asignar la propiedad RDF a generar a partir de cada uno de los subcampos.
-relationsMapping: asignar la relación RDF a establecer entre los recursos encontrados que presentan una determinada variación de subcampos.
4 Guardar en la carpeta models los ficheros RDF de los vocabularios utilizados. Para ello necesitas descargarlos de la Web o exportarlos a un fichero si estabas usando un editor de ontologías (como NeOnToolkit o Protégé).
5 Ejecutar el comando que genera RDF tomando las correspondencias, los registros y los vocabularios: ""marimba --generaterdf -a -b --writeresultado.rdf""
6 Si se quieren hacer consultas SPARQL directamente sobre los datos se puede ejecutar un servidor RDF ligero (Fuseki). Para ello se debe ejecutar: ""run-marimba-server""
Y en la dirección http://localhost:3030/ se pueden hacer consultas sobre los datos generados"
Tecnologías y modelos;morph;"The morph suite of technologies (together with their corresponding algorithms), is focused on applying a range of query rewriting techniques over heterogeneous federated data sources, through the use of mappings expressed in the W3C R2RML language. The suite is composed of the following languages:
- morph-RDB, for accessing relational databases. Currently it provides support for relational database management systems such as mySQL, Postgres and MonetDB. (https://oeg.fi.upm.es/index.php/es/technologies/315-morph-rdb/index.html)
- morph-LDP, an extension of morph-RDB that works with our Linked Data Platform implementation [2]. (https://oeg.fi.upm.es/index.php/es/technologies/331-morph-ldp/index.html)
-morph-GFT, for accessing Google Fusion Tables. (https://oeg.fi.upm.es/index.php/es/technologies/316-morph-gft/index.html)
-morph-streams, for accessing data streams available in Esper, GSN or SNEE, although extensible for other dynamic data sources that expose data through a REST API. (https://oeg.fi.upm.es/index.php/es/technologies/320-morph-streams/index.html)
-SPARQL-DQP, for accessing federated SPARQL endpoints. (https://oeg.fi.upm.es/index.php/es/technologies/166-sparql-dqp/index.html)
-kyrie, for enriching SPARQL queries by considering ontology entailments. (https://oeg.fi.upm.es/index.php/es/technologies/314-kyrie/index.html)";;;
Tecnologías y modelos;morph-GFT;"morph-GFT is an extension of morph-RDB that works with Google Fusion Table (GFT) tables. These tables can be described using R2RML Mappings and enables users to query them using SPARQL. In morph-GFT, SPARQL queries posed by users are translated into SQL-like queries that are supported by the GFT API.
Unlike standard relational database implementations normally used with R2RML, the GFT API does not support join operations. Therefore, the SQL-like queries that can be evaluated directly over the GFT API are rather simple. For this reason, we use SPARQL-DQP [2] to perform joins of intermediate results and then these intermediate results are translated using the R2RML mappings specified by the users. Using SPARQL-DQP brings another benefit: not only can we join the intermediate results from GFT tables, but also from other SPARQL endpoints.            [1] Applying SPARQL-DQP for Federated SPARQL Querying over Google Fusion Tables, Freddy Priyatna, Carlos Buil Aranda, Oscar Corcho. Extended Semantic Web Conference (ESWC 2013) demo track. link
[2] Semantics and optimization of the SPARQL 1.1 federation extension, Carlos Buil Aranda, Marcelo Arenas, Oscar Corcho. Extended Semantic Web Conference (ESWC2011), Semantic Data Management track, 2011. Best paper award. link";https://github.com/oeg-upm/morph-gft;https://oeg.fi.upm.es/images/architecture-morphgft.png;The morph-GFT project page is located at https://github.com/oeg-upm/morph-gft and the instructions of how to use morph-GFT can be found at https://github.com/oeg-upm/morph-gft/wiki
Tecnologías y modelos;morph-LDP;"morph-LDP[1] is an extension of morph-RDB that works with our Linked Data Platform implementation [2]. morph-LDP exposes relational data as read/write Linked Data for LDP-aware applications, whilst allowing legacy applications to continue using their relational databases.                                                                                                              [1] Mihindukulasooriya, N., Priyatna F., Corcho, O., García-Castro, R. and Esteban-Gutiérrez, M. morph-LDP: An R2RML-based Linked Data Platform implementation. The 11th Extended Semantic Web Conference 2014 Demo Session, Crete, Greece.
[2] Mihindukulasooriya, N., García-Castro, R., Esteban-Gutiérrez, M.: Linked Data Platform as a novel approach for Enterprise Application Integration. (Oct 2013)";https://oeg.fi.upm.es/images/stories/tecnologias/morph-ldp-scenario.png     https://oeg.fi.upm.es/images/stories/tecnologias/morph-ldp-1.png;;
Tecnologías y modelos;morph-RDB;"morph-RDB [1,3] (formerly called ODEMapster) is an RDB2RDF engine developed by the Ontology Engineering Group, which follows the R2RML specification (http://www.w3.org/TR/r2rml/). morph-RDB supports two operational modes:
-Data upgrade, which consists in generating RDF data from a relational database according to the R2RML mapping descriptions.
-Query translation, which allows evaluating SPARQL queries over a virtual RDF dataset, by rewriting those queries into SQL according to the R2RML mapping descriptions.
morph-RDB outperforms similar state-of-the-art tools (D2R) and query translation algorithms (e.g., the one proposed by Chebotko and colleagues in 2009) by employing various types of optimisations during the query rewriting process, so as to generate more efficient SQL queries. Some of these optimisations are self-join elimination, subquery elimination, and left-outer join elimination. morph-RDB has been tested with the BSBM synthetic benchmark and has been successfully deployed in various Spanish/EU projects (Integrate, Répener, and BizkaiSense) .
At the moment, morph-RDB works with relational database management systems like MySQL, PostgreSQL and MonetDB. In addition, morph-RDB has also been extended to support Google Fusion Tables in a project called morph-GFT [2] [6], and has been integrated with our Linked Data Platform implementation (LDP) [4] [5].
The morph-RDB project repository can be found at https://github.com/oeg-upm/morph-rdb and the instructions of how to use it can be found at https://github.com/oeg-upm/morph-rdb/wiki.

[1] Freddy Priyatna, Oscar Corcho, Juan Sequeda. Formalisation and Experiences of R2RML-based SPARQL to SQL query translation using Morph. World Wide Web Conference (WWW 2014). link
[2] Freddy Priyatna, Carlos Buil Aranda, Oscar Corcho. Applying SPARQL-DQP for Federated SPARQL Querying over Google Fusion Tables. Extended Semantic Web Conference (ESWC 2013) demo track. link
[3] Freddy Priyatna, Raul Alonso-Calvo, Sergio Paraiso, Gueton Padron-Sanchez and Oscar Corcho. R2RML-based access and querying to relational clinical data with morph-RDB. Semantic Web Applications and Tools for Life Sciences (SWAT 2015). (To appear)
[4] Mihindukulasooriya, N., García-Castro, R., Esteban-Gutiérrez, M.: Linked Data Platform as a novel approach for Enterprise Application Integration. (Oct 2013)
[5] Mihindukulasooriya, N., Priyatna F., Corcho, O., García-Castro, R. and Esteban-Gutiérrez, M. morph-LDP: An R2RML-based Linked Data Platform implementation. The 11th Extended Semantic Web Conference 2014 Demo Session, Crete, Greece.
[6] https://github.com/oeg-upm/morph-gft";https://github.com/oeg-upm/morph-rdb;;
Tecnologías y modelos;morph-streams;"morph-streams is an ontology-based data access system that allows evaluating SPARQL-Stream queries over a range of data streaming systems, which are mapped using the W3C R2RML language. More specifically, the current version of morph-streams provides wrappers for:
-The complex event processing engine Esper.
-The sensor network middleware GSN.
-The data stream management system SNEE.
Previous versions of morph-streams also supported the API of Pachube (now Xively), although this has been deprecated.
Morph-streams supports two modes of operation:
-It allows submitting SPARQL-Stream queries directly to an R2RML-wrapped data source. Queries are rewritten into the underlying query language or REST API and submitted to the underlying system, and results are then translated back using the same set of R2RML mappings.
-It allows registering SPARQL-Stream continuous queries over an R2RML-wrapped data source, to which consumers can subscribe, receiving updated results as soon as they are evaluated.
The morph-streams project repository can be found at https://github.com/oeg-upm/morph-streams, together with instructions on how to install it and use it. Besides, a live deployment of morph-streams with several types of streaming data sources can be found at http://streams.linkeddata.es/.";https://github.com/oeg-upm/morph-streams;;"An efficient RDF processing engine for heterogeneous data streams
The purpose of this research is to design and implement an engine that allows complex queries over heterogeneous data streams in near real-time at Web scale.
There is a growing number of applications that depend on the usage of real-time spatiotemporal data, and which allow moving from the usual three levels of decision making (strategic, tactical, and operational) to real-time decision making. One example would be real-time geomarketing, where decisions on offering discount coupons to customers may be made on really short time slots based on the combination of a set of spatiotemporal data streams coming from different providers, e.g. public transport card validations or weather information. Extracting information from these streams is complex because of the heterogeneity of the data, the rate of data generation, and the volume. To tap these data sources accordingly and get relevant information, scalable processing infrastructures are required, as well as approaches to allow data integration and fusion.
Our plan is to build a distributed stream processing engine capable of adapting to changing conditions while serving complex continuous queries. First, adapters for various formats are used to convert heterogeneous streams to Linked Data streams. Then, Adaptive Query Processing (AQP) allows adjusting the query execution plan to varying conditions of the data input, the incoming queries, and the system.
Our engine will address real-time processing following the Lambda principles. Lambda is a 3-layer architecture designed to alleviate the complexities of Big Data management: a batch layer stores all the incoming data in an immutable master dataset and pre-computes batch views; a serving layer indexes views on the master dataset; and a speed layer manages the real-time processing issues and requests data views depending on incoming queries. We will follow this design together with AQP techniques and RDF compressed data structures allowing to decrease access time in large datasets, as well as data transmission time among processing nodes.

 "
Tecnologías y modelos;OGSA-DAI RDF Resource;OGSA-DAI RDF Resource es una extension al sistema de acceso a datos OGSA-DAI. Esta extensión extiende OGSA-DAI añadiéndole un nuevo recurso de datos a los ya existentes en el framework (bases de datos relacionales, XML y archivos). Este nuevo recurso accede a datos en RDF almacenados en una base de datos RDF o accesibles mediante SPARQL endpoints. El acceso se realiza mediante el framework RDF Jena y Jena SDB. En la siguiente figura se muestra la extensión dentro del contexto de OGSA-DAI. Esta imagen también muestra otra extensión a OGSA-DAI, la cual accede a un sistema RDB2RDF encargado de acceder a bases de datos relacionales mediante consultas a una ontología.El nuevo recurso RDF es el encargado de configurar el acceso a los repositorios RDF. El acceso real lo realizan actividades complementarias a él. Estas actividades acceden al recurso, el cual configura los reursos de datos. Las actividades consultan posteriormente los recursos de datos y procesan los resultados de las consultas. Estos resultados son convertidos al formato interno de OGSA-DAI. Este formato son tuplas de la forma (calor1, valor2, …) y mediante este formato es posible integrar los resultados de otras consultas a otros recursos de datos de OGSA-DAI. El código del recurso puede descargarse del SVN de OGSA-DAI. Este recurso se utilice actualmente en el proyecto ADMIRE y también es utilizado por el Sciences and Technologies Facilities Council  en el Reino Unido.;http://sourceforge.net/apps/trac/ogsa-dai/;https://oeg.fi.upm.es/images/stories/tecnologias/RDFResource1.png                   https://oeg.fi.upm.es/images/stories/tecnologias/RDFResource2.png;
Tecnologías y modelos;OOPS! – OntOlogy Pitfall Scanner!;OOPS! es una aplicación web, independiente de cualquier entorno de desarrollo de ontologías, para detectar malas prácticas en ontologías que podrían, potencialmente, provocar errores en el modelado de las mismas. El objetivo de esta herramienta es ayudar a los desarrolladores de ontologías durante la actividad de validación de las mismas, la cual puede dividirse en diagnóstico y reparación. Actualmente, OOPS! proporciona mecanismos para detectar automáticamente un número de errores potenciales, ayudando por tanto a los desarrolladores durante la actividad de diagnóstico.;http://oops.linkeddata.es/;https://oeg.fi.upm.es/images/stories/oops-1.png    https://oeg.fi.upm.es/images/stories/oops-2.png;"¿Cómo usar OOPS!?
1)    Accede a http://oops.linkeddata.es/
2)    Introduce la URI de la ontología a analizar o pega el código RDF en el cuadro de texto correspondiente (Ver Figura 1) y haz click en el botón asociado a cada opción.
3)    Comprueba los resultados obtenidos (Ver Figura 2).
Contacto: oops@delicias.dia.fi.upm.es

 "
Tecnologías y modelos;Sem4Tags;"Sem4Tags es una herramienta multilingüe capaz de descubrir el significado de una etiqueta en un contexto dado y que como resultado ofrece un recurso DBpedia que define el significado de cada etiqueta procesada. La versión actual soporta etiquetas en inglés y español.
Sem4Tags identifica el significado de etiquetas multilingües asociándoles recursos DBpedia. Este proceso tiene en cuenta el contexto de la etiqueta entendido como el conjunto de las etiquetas del usuario que coocurren cuando anotan un recurso. Sem4Tags usa un repositorio de significados multilingüe (MSR por sus siglas en inglés)  creado a partir de información de la Wikipedia, donde cada palabra se relaciona con un conjunto de posibles significados que se han extraído de las páginas de desambiguación de Wikipedia.  Para seleccionar el significado más probable para una etiqueta, Sem4Tags utiliza un modelo de vectores que tiene en cuenta los términos que aparecen en cada una de las páginas Wikipedia que definen un significado.";http://grafias.dia.fi.upm.es/Sem4Tags/;;"Existe un servicio web disponible en la siguiente dirección:http://grafias.dia.fi.upm.es/SemanticTagWebServiceRestFul/resources/tag/disambiguate
Existe una aplicación on-line disponible en la siguiente dirección:http://grafias.dia.fi.upm.es/SemanticWebApp/DisambiguationTool.xhtml"
Tecnologías y modelos;sitemap4rdf;"Sitemap4rdf es una herramienta de línea de comando que genera ficheros sitemap.xml para sitios de Linked Data que tienen un SPARQL endpoint. Sitemap4rdf consulta al endpoint y recupera una lista con todas las URLs, y genera el sitemap.xml, que debe ser subido al sitio web.

Entre sus características, incluye soporte a la compresión del Sitemap, y soporte para la partición del Sitemap en varios ficheros para sitios de gran tamaño.";http://lab.linkeddata.deri.ie/2010/sitemap4rdf/;;
